|       | 007: Everything or Nothing                                                                                                                                                             | EA Games                               | Game Boy Advance | 2003 | North America
|       | Cabela's Big Game Hunter                                                                                                                                                               | Activision                             | Game Boy Advance | 2002 | North America
|       | Cabela's Big Game Hunter 2005 Adventures                                                                                                                                               | Activision Value                       | Game Boy Advance | 2004 | North America
|       | Caesars Palace Advance: Millenium Gold Edition                                                                                                                                         | Majesco Games                          | Game Boy Advance | 2001 | North America
|       | Camp Lazlo: Leaky Lake Games                                                                                                                                                           | Crave                                  | Game Boy Advance | 2006 | North America
|       | CandyLand / Chutes & Ladders / Original Memory Game                                                                                                                                    | Destination Software                   | Game Boy Advance | 2005 | North America
|       | Capcom Classics Mini Mix                                                                                                                                                               | Capcom                                 | Game Boy Advance | 2006 | North America
|       | Car Battler Joe                                                                                                                                                                        | Natsume                                | Game Boy Advance | 2002 | North America
|       | Care Bears: Care Quest                                                                                                                                                                 | The Game Factory                       | Game Boy Advance | 2005 | North America
|       | Cars                                                                                                                                                                                   | THQ                                    | Game Boy Advance | 2006 | North America
|       | Cars Mater-National Championship                                                                                                                                                       | THQ                                    | Game Boy Advance | 2007 | North America
|       | Cartoon Network Block Party                                                                                                                                                            | Majesco Games                          | Game Boy Advance | 2004 | North America
|       | Cartoon Network Block Party / Speedway                                                                                                                                                 | Majesco Games                          | Game Boy Advance | 2005 | North America
|       | Cartoon Network Bundle                                                                                                                                                                 | Majesco                                | Game Boy Advance | 2004 | North America
|       | Cartoon Network Speedway                                                                                                                                                               | Majesco Games                          | Game Boy Advance | 2003 | North America
|       | Casper                                                                                                                                                                                 | Microids                               | Game Boy Advance | 2013 | North America
|       | Castlevania Double Pack                                                                                                                                                                | Konami                                 | Game Boy Advance | 2006 | North America
|       | Castlevania: Aria of Sorrow                                                                                                                                                            | Konami                                 | Game Boy Advance | 2003 | North America
|       | Castlevania: Circle of the Moon                                                                                                                                                        | Konami                                 | Game Boy Advance | 2001 | North America
|       | Castlevania: Harmony of Dissonance                                                                                                                                                     | Konami                                 | Game Boy Advance | 2002 | North America
|       | Catwoman                                                                                                                                                                               | EA Games                               | Game Boy Advance | 2004 | North America
|       | Catz                                                                                                                                                                                   | Ubisoft                                | Game Boy Advance | 2006 | North America
|       | Centipede / Breakout / Warlords                                                                                                                                                        | DSI Games                              | Game Boy Advance | 2005 | North America
|       | Charlie and the Chocolate Factory                                                                                                                                                      | Global Star Software                   | Game Boy Advance | 2005 | North America
|       | Charlotte's Web                                                                                                                                                                        | Sega                                   | Game Boy Advance | 2006 | North America
|       | Cheetah Girls, The                                                                                                                                                                     | Buena Vista Games                      | Game Boy Advance | 2006 | North America
|       | Chessmaster                                                                                                                                                                            | Ubisoft                                | Game Boy Advance | 2002 | North America
|       | Chicken Little                                                                                                                                                                         | Buena Vista Games                      | Game Boy Advance | 2005 | North America
|       | Chicken Shoot                                                                                                                                                                          | DSI Games                              | Game Boy Advance | 2005 | North America
|       | Chicken Shoot 2                                                                                                                                                                        | DSI Games                              | Game Boy Advance | 2005 | North America
|       | Chronicles of Narnia: The Lion, The Witch and The Wardrobe, The                                                                                                                        | Buena Vista Games                      | Game Boy Advance | 2005 | North America
|       | ChuChu Rocket!                                                                                                                                                                         | Sega                                   | Game Boy Advance | 2001 | North America
|       | CIMA: The Enemy                                                                                                                                                                        | Natsume                                | Game Boy Advance | 2003 | North America
|       | Classic NES Series: Bomberman                                                                                                                                                          | Nintendo                               | Game Boy Advance | 2004 | North America
|       | Classic NES Series: Castlevania                                                                                                                                                        | Nintendo                               | Game Boy Advance | 2004 | North America
|       | Classic NES Series: Donkey Kong                                                                                                                                                        | Nintendo                               | Game Boy Advance | 2004 | North America
|       | Classic NES Series: Dr. Mario                                                                                                                                                          | Nintendo                               | Game Boy Advance | 2004 | North America
|       | Classic NES Series: Excitebike                                                                                                                                                         | Nintendo                               | Game Boy Advance | 2004 | North America
|       | Classic NES Series: Ice Climber                                                                                                                                                        | Nintendo                               | Game Boy Advance | 2004 | North America
|       | Classic NES Series: Metroid                                                                                                                                                            | Nintendo                               | Game Boy Advance | 2004 | North America
