|       | 10-Yard Fight                                               | Nintendo                       | Nintendo Entertainment System | 1985 | North America
|       | Athletic World                                              | Bandai                         | Nintendo Entertainment System | 1990 | North America
|       | Attack of the Killer Tomatoes                               | THQ                            | Nintendo Entertainment System | 1992 | North America
|       | Baby Boomer                                                 | Color Dreams                   | Nintendo Entertainment System | 1989 | North America
|       | Back to the Future                                          | LJN Ltd.                       | Nintendo Entertainment System | 1989 | North America
|       | Back to the Future II & III                                 | LJN Ltd.                       | Nintendo Entertainment System | 1990 | North America
|       | Bad Dudes                                                   | Data East                      | Nintendo Entertainment System | 1990 | North America
|       | Bad News Baseball                                           | Tecmo                          | Nintendo Entertainment System | 1990 | North America
|       | Bad Street Brawler                                          | Mattel                         | Nintendo Entertainment System | 1989 | North America
|       | Balloon Fight                                               | Nintendo                       | Nintendo Entertainment System | 1986 | North America
|       | Bandai Golf: Challenge Pebble Beach                         | Bandai                         | Nintendo Entertainment System | 1989 | North America
|       | Bandit Kings of Ancient China                               | Koei                           | Nintendo Entertainment System | 1990 | North America
|       | Barbie                                                      | Hi-Tech                        | Nintendo Entertainment System | 1991 | North America
|       | Bard's Tale, The                                            | FCI, Inc.                      | Nintendo Entertainment System | 1991 | North America
|       | Barker Bill's Trick Shooting                                | Nintendo                       | Nintendo Entertainment System | 1990 | North America
|       | Baseball                                                    | Nintendo                       | Nintendo Entertainment System | 1985 | North America
|       | Baseball Simulator 1.000                                    | Culture Brain                  | Nintendo Entertainment System | 1990 | North America
|       | Baseball Stars                                              | SNK                            | Nintendo Entertainment System | 1989 | North America
|       | Baseball Stars II                                           | Romstar                        | Nintendo Entertainment System | 1992 | North America
|       | Bases Loaded                                                | Jaleco Entertainment           | Nintendo Entertainment System | 1988 | North America
|       | Bases Loaded 3                                              | Jaleco Entertainment           | Nintendo Entertainment System | 1991 | North America
|       | Bases Loaded 4                                              | Jaleco Entertainment           | Nintendo Entertainment System | 1993 | North America
|       | Bases Loaded II: Second Season                              | Jaleco Entertainment           | Nintendo Entertainment System | 1990 | North America
|       | Batman                                                      | SunSoft                        | Nintendo Entertainment System | 1990 | North America
|       | Batman Returns                                              | Konami                         | Nintendo Entertainment System | 1993 | North America
|       | Batman: Return of the Joker                                 | SunSoft                        | Nintendo Entertainment System | 1991 | North America
|       | Battle Chess                                                | Data East                      | Nintendo Entertainment System | 1990 | North America
|       | Battle Kid 2: Mountain of Torment                           | RetroZone                      | Nintendo Entertainment System | 2012 | North America
|       | Battle Kid: Fortress of Peril                               | RetroZone                      | Nintendo Entertainment System | 2010 | North America
|       | Battle Tank                                                 | Absolute Entertainment         | Nintendo Entertainment System | 1990 | North America
|       | Battleship                                                  | Mindscape Inc.                 | Nintendo Entertainment System | 1993 | North America
|       | Battletoads                                                 | Tradewest                      | Nintendo Entertainment System | 1991 | North America
|       | Battletoads & Double Dragon                                 | Tradewest                      | Nintendo Entertainment System | 1993 | North America
|       | Bee 52                                                      | Camerica                       | Nintendo Entertainment System | 1992 | North America
|       | Beetlejuice                                                 | LJN Ltd.                       | Nintendo Entertainment System | 1991 | North America
|       | Best of the Best: Championship Karate                       | Electro Brain                  | Nintendo Entertainment System | 1992 | North America
|       | Bible Adventures                                            | Wisdom Tree                    | Nintendo Entertainment System | 1990 | North America
|       | Bible Buffet                                                | Wisdom Tree                    | Nintendo Entertainment System | 1993 | North America
|       | Big Nose Freaks Out                                         | Camerica                       | Nintendo Entertainment System | 1992 | North America
|       | Big Nose the Caveman                                        | Camerica                       | Nintendo Entertainment System | 1991 | North America
|       | Bigfoot                                                     | Acclaim                        | Nintendo Entertainment System | 1990 | North America
|       | Bill & Ted's Excellent Video Game Adventure                 | LJN Ltd.                       | Nintendo Entertainment System | 1991 | North America
|       | Bill Elliott's NASCAR Challenge                             | Konami                         | Nintendo Entertainment System | 1991 | North America
|       | Bionic Commando                                             | Capcom                         | Nintendo Entertainment System | 1988 | North America
|       | Blackjack                                                   | American Video Entertainment   | Nintendo Entertainment System | 1992 | North America
|       | Blades of Steel                                             | Konami                         | Nintendo Entertainment System | 1988 | North America
|       | Blaster Master                                              | SunSoft                        | Nintendo Entertainment System | 1988 | North America
|       | Blue Marlin, The                                            | Hot-B                          | Nintendo Entertainment System | 1992 | North America
|       | Blues Brothers, The                                         | Titus Software                 | Nintendo Entertainment System | 1992 | North America
|       | Bo Jackson Baseball                                         | Data East USA                  | Nintendo Entertainment System | 1991 | North America
|       | Bomberman                                                   | Hudson                         | Nintendo Entertainment System | 1989 | North America
|       | Bomberman II                                                | Hudson                         | Nintendo Entertainment System | 1993 | North America
|       | Bonk's Adventure                                            | Hudson                         | Nintendo Entertainment System | 1994 | North America
|       | Boulder Dash                                                | JVC Digital Studios            | Nintendo Entertainment System | 1990 | North America
|       | Bram Stoker's Dracula                                       | Sony Imagesoft                 | Nintendo Entertainment System | 1993 | North America
|       | Break Time: The National Pool Tour                          | FCI, Inc.                      | Nintendo Entertainment System | 1993 | North America
|       | BreakThru                                                   | Data East                      | Nintendo Entertainment System | 1987 | North America
|       | Bubble Bath Babes                                           | Panesian                       | Nintendo Entertainment System | 1991 | North America
|       | Bubble Bobble                                               | Taito Corporation              | Nintendo Entertainment System | 1988 | North America
|       | Bubble Bobble Part 2                                        | Taito Corporation              | Nintendo Entertainment System | 1993 | North America
|       | Bucky O'Hare                                                | Konami                         | Nintendo Entertainment System | 1992 | North America
|       | Bugs Bunny Birthday Blowout, The                            | Kemco                          | Nintendo Entertainment System | 1990 | North America
|       | Bugs Bunny Crazy Castle, The                                | Kemco                          | Nintendo Entertainment System | 1989 | North America
|       | Bump 'n' Jump                                               | Vic Tokai                      | Nintendo Entertainment System | 1988 | North America
|       | Burai Fighter                                               | Taxan                          | Nintendo Entertainment System | 1990 | North America
|       | BurgerTime                                                  | Data East                      | Nintendo Entertainment System | 1987 | North America
|       | Cabal                                                       | Milton Bradley                 | Nintendo Entertainment System | 1990 | North America
|       | Caesars Palace                                              | Virgin Games                   | Nintendo Entertainment System | 1992 | North America
|       | California Games                                            | Milton Bradley                 | Nintendo Entertainment System | 1989 | North America
|       | Capcom's Gold Medal Challenge '92                           | Capcom                         | Nintendo Entertainment System | 1992 | North America
|       | Captain America and the Avengers                            | Data East                      | Nintendo Entertainment System | 1991 | North America
|       | Captain Comic: The Adventure                                | Color Dreams                   | Nintendo Entertainment System | 1989 | North America
|       | Captain Planet and the Planeteers                           | Mindscape Inc.                 | Nintendo Entertainment System | 1991 | North America
|       | Captain Skyhawk                                             | Milton Bradley                 | Nintendo Entertainment System | 1990 | North America
|       | Casino Kid                                                  | Sofel                          | Nintendo Entertainment System | 1989 | North America
|       | Casino Kid II                                               | Sofel                          | Nintendo Entertainment System | 1993 | North America
|       | Castelian                                                   | Triffix                        | Nintendo Entertainment System | 1991 | North America
|       | Castle of Deceit                                            | Bunch Games, Inc.              | Nintendo Entertainment System | 1990 | North America
|       | Castle of Dragon                                            | Seta Corporation               | Nintendo Entertainment System | 1990 | North America
|       | Castlequest                                                 | Nexoft                         | Nintendo Entertainment System | 1989 | North America
|       | Castlevania                                                 | Konami                         | Nintendo Entertainment System | 1987 | North America
|       | Castlevania II: Simon's Quest                               | Konami                         | Nintendo Entertainment System | 1988 | North America
|       | Castlevania III: Dracula's Curse                            | Konami                         | Nintendo Entertainment System | 1990 | North America
|       | Caveman Games                                               | Data East                      | Nintendo Entertainment System | 1990 | North America
|       | Challenge of the Dragon                                     | Color Dreams                   | Nintendo Entertainment System | 1990 | North America
|       | Championship Bowling                                        | Romstar                        | Nintendo Entertainment System | 1989 | North America
|       | Championship Pool                                           | Mindscape Inc.                 | Nintendo Entertainment System | 1993 | North America
|       | Cheetahmen II                                               | Active Enterprises             | Nintendo Entertainment System | 1993 | North America
|       | Chessmaster, The                                            | Software Toolworks             | Nintendo Entertainment System | 1990 | North America
|       | Chiller                                                     | American Game Cartridges, Inc. | Nintendo Entertainment System | 1990 | North America
|       | Chubby Cherub                                               | Bandai                         | Nintendo Entertainment System | 1986 | North America
|       | Circus Caper                                                | Toho                           | Nintendo Entertainment System | 1990 | North America
|       | City Connection                                             | Jaleco Entertainment           | Nintendo Entertainment System | 1988 | North America
|       | Clash at Demonhead                                          | Vic Tokai                      | Nintendo Entertainment System | 1990 | North America
|       | Classic Concentration                                       | GameTek                        | Nintendo Entertainment System | 1990 | North America
|       | Cliffhanger                                                 | Sony Imagesoft                 | Nintendo Entertainment System | 1993 | North America
|       | Clu Clu Land                                                | Nintendo                       | Nintendo Entertainment System | 1985 | North America
|       | Cobra Command                                               | Data East                      | Nintendo Entertainment System | 1988 | North America
|       | Cobra Triangle                                              | Nintendo                       | Nintendo Entertainment System | 1989 | North America
|       | Code Name: Viper                                            | Capcom                         | Nintendo Entertainment System | 1990 | North America
|       | Color a Dinosaur                                            | Virgin Interactive             | Nintendo Entertainment System | 1993 | North America
|       | Commando                                                    | Capcom                         | Nintendo Entertainment System | 1986 | North America
|       | Conan                                                       | Mindscape Inc.                 | Nintendo Entertainment System | 1991 | North America
|       | Conflict                                                    | Vic Tokai                      | Nintendo Entertainment System | 1990 | North America
|       | Conquest of the Crystal Palace                              | Asmik Corporation of America   | Nintendo Entertainment System | 1990 | North America
|       | Contra                                                      | Konami                         | Nintendo Entertainment System | 1988 | North America
|       | Contra Force                                                | Konami                         | Nintendo Entertainment System | 1992 | North America
|       | Cool World                                                  | Ocean                          | Nintendo Entertainment System | 1993 | North America
|       | Cowboy Kid                                                  | Romstar                        | Nintendo Entertainment System | 1992 | North America
|       | Crash 'n the Boys: Street Challenge                         | Technos                        | Nintendo Entertainment System | 1992 | North America
|       | Crystal Mines                                               | Color Dreams                   | Nintendo Entertainment System | 1989 | North America
|       | Crystalis                                                   | SNK                            | Nintendo Entertainment System | 1990 | North America
|       | Cyber Stadium Series: Base Wars                             | Ultra                          | Nintendo Entertainment System | 1991 | North America
|       | Cyberball                                                   | Jaleco Entertainment           | Nintendo Entertainment System | 1992 | North America
|       | Cybernoid: The Fighting Machine                             | Acclaim                        | Nintendo Entertainment System | 1989 | North America
|       | Dance Aerobics                                              | Nintendo                       | Nintendo Entertainment System | 1989 | North America
|       | Danny Sullivan's Indy Heat                                  | Tradewest                      | Nintendo Entertainment System | 1992 | North America
|       | Darkman                                                     | Ocean                          | Nintendo Entertainment System | 1991 | North America
|       | Dash Galaxy in the Alien Asylum                             | Data East                      | Nintendo Entertainment System | 1990 | North America
|       | Day Dreamin' Davey                                          | Hal                            | Nintendo Entertainment System | 1992 | North America
|       | Days of Thunder                                             | Mindscape Inc.                 | Nintendo Entertainment System | 1990 | North America
|       | Deadly Towers                                               | Broderbund                     | Nintendo Entertainment System | 1987 | North America
|       | Death Race                                                  | American Game Cartridges       | Nintendo Entertainment System | 1991 | North America
|       | Deathbots                                                   | American Video Entertainment   | Nintendo Entertainment System | 1990 | North America
|       | Defender II                                                 | Hal                            | Nintendo Entertainment System | 1988 | North America
|       | Defender of the Crown                                       | Ultra                          | Nintendo Entertainment System | 1989 | North America
|       | Defenders of Dynatron City                                  | JVC Musical Industries, Inc.   | Nintendo Entertainment System | 1992 | North America
|       | Deja Vu                                                     | Seika Corp.                    | Nintendo Entertainment System | 1990 | North America
|       | Demon Sword                                                 | Taito Corporation              | Nintendo Entertainment System | 1990 | North America
|       | Desert Commander                                            | Kemco                          | Nintendo Entertainment System | 1989 | North America
|       | Destination Earthstar                                       | Acclaim                        | Nintendo Entertainment System | 1990 | North America
|       | Destiny of an Emperor                                       | Capcom                         | Nintendo Entertainment System | 1990 | North America
|       | Dick Tracy                                                  | Bandai                         | Nintendo Entertainment System | 1990 | North America
|       | Die Hard                                                    | Activision                     | Nintendo Entertainment System | 1992 | North America
|       | Dig Dug II: Trouble In Paradise                             | Bandai                         | Nintendo Entertainment System | 1989 | North America
|       | Digger T. Rock: The Legend of the Lost City                 | Milton Bradley                 | Nintendo Entertainment System | 1990 | North America
|       | Dirty Harry                                                 | Mindscape Inc.                 | Nintendo Entertainment System | 1990 | North America
|       | Disney Adventures in the Magic Kingdom                      | Capcom                         | Nintendo Entertainment System | 1990 | North America
|       | Disney's Chip 'n Dale: Rescue Rangers                       | Capcom                         | Nintendo Entertainment System | 1990 | North America
|       | Disney's Chip 'n Dale: Rescue Rangers 2                     | Capcom                         | Nintendo Entertainment System | 1994 | North America
|       | Disney's Darkwing Duck                                      | Capcom                         | Nintendo Entertainment System | 1992 | North America
|       | Disney's DuckTales                                          | Capcom                         | Nintendo Entertainment System | 1989 | North America
|       | Disney's DuckTales 2                                        | Capcom                         | Nintendo Entertainment System | 1993 | North America
|       | Disney's TaleSpin                                           | Capcom                         | Nintendo Entertainment System | 1991 | North America
|       | Disney's The Jungle Book                                    | Virgin Interactive             | Nintendo Entertainment System | 1994 | North America
|       | Disney's The Little Mermaid                                 | Capcom                         | Nintendo Entertainment System | 1991 | North America
|       | Dizzy The Adventurer                                        | Camerica                       | Nintendo Entertainment System | 1993 | North America
|       | Donkey Kong                                                 | Nintendo                       | Nintendo Entertainment System | 1986 | North America
|       | Donkey Kong 3                                               | Nintendo                       | Nintendo Entertainment System | 1986 | North America
|       | Donkey Kong Classics                                        | Nintendo                       | Nintendo Entertainment System | 1988 | North America
|       | Donkey Kong Jr.                                             | Nintendo                       | Nintendo Entertainment System | 1986 | North America
|       | Donkey Kong Jr. Math                                        | Nintendo                       | Nintendo Entertainment System | 1985 | North America
|       | Double Dare                                                 | GameTek                        | Nintendo Entertainment System | 1990 | North America
|       | Double Dragon                                               | Tradewest                      | Nintendo Entertainment System | 1988 | North America
|       | Double Dragon II: The Revenge                               | Acclaim                        | Nintendo Entertainment System | 1990 | North America
|       | Double Dragon III: The Sacred Stones                        | Acclaim                        | Nintendo Entertainment System | 1991 | North America
|       | Double Dribble                                              | Konami                         | Nintendo Entertainment System | 1987 | North America
|       | Double Strike                                               | American Video Entertainment   | Nintendo Entertainment System | 1990 | North America
|       | Dr. Chaos                                                   | FCI, Inc.                      | Nintendo Entertainment System | 1988 | North America
|       | Dr. Jekyll and Mr. Hyde                                     | Bandai                         | Nintendo Entertainment System | 1989 | North America
|       | Dr. Mario                                                   | Nintendo                       | Nintendo Entertainment System | 1990 | North America
|       | Dragon Fighter                                              | Sofel                          | Nintendo Entertainment System | 1992 | North America
|       | Dragon Power                                                | Bandai                         | Nintendo Entertainment System | 1988 | North America
|       | Dragon Spirit: The New Legend                               | Bandai                         | Nintendo Entertainment System | 1990 | North America
|       | Dragon Warrior                                              | Nintendo                       | Nintendo Entertainment System | 1989 | North America
|       | Dragon Warrior II                                           | Enix America, Inc.             | Nintendo Entertainment System | 1990 | North America
|       | Dragon Warrior III                                          | Enix America, Inc.             | Nintendo Entertainment System | 1992 | North America
|       | Dragon Warrior IV                                           | Enix America, Inc.             | Nintendo Entertainment System | 1992 | North America
|       | Dragon's Lair                                               | Epic Sony Record               | Nintendo Entertainment System | 1990 | North America
|       | Duck Hunt                                                   | Nintendo                       | Nintendo Entertainment System | 1985 | North America
|       | Dudes With Attitude                                         | American Video Entertainment   | Nintendo Entertainment System | 1990 | North America
|       | Dungeon Magic: Sword of the Elements                        | Taito Corporation              | Nintendo Entertainment System | 1990 | North America
|       | Dusty Diamond's All-Star Softball                           | Broderbund                     | Nintendo Entertainment System | 1990 | North America
|       | Dynowarz: The Destruction of Spondylus                      | Bandai America Inc.            | Nintendo Entertainment System | 1990 | North America
|       | Elevator Action                                             | Taito Corporation              | Nintendo Entertainment System | 1987 | North America
|       | Eliminator Boat Duel                                        | Electro Brain                  | Nintendo Entertainment System | 1991 | North America
|       | Excitebike                                                  | Nintendo                       | Nintendo Entertainment System | 1985 | North America
|       | Exodus: Journey to the Promised Land                        | Wisdom Tree                    | Nintendo Entertainment System | 1990 | North America
|       | F-117A Stealth Fighter                                      | MicroProse                     | Nintendo Entertainment System | 1992 | North America
|       | F-15 City War                                               | American Video Entertainment   | Nintendo Entertainment System | 1990 | North America
|       | F-15 Strike Eagle                                           | MicroProse                     | Nintendo Entertainment System | 1992 | North America
|       | Family Feud                                                 | GameTek                        | Nintendo Entertainment System | 1991 | North America
|       | Fantastic Adventures of Dizzy, The                          | Camerica                       | Nintendo Entertainment System | 1993 | North America
|       | Fantasy Zone                                                | Tengen                         | Nintendo Entertainment System | 1989 | North America
|       | Faria: A World of Mystery & Danger!                         | Nexoft                         | Nintendo Entertainment System | 1991 | North America
|       | Faxanadu                                                    | Nintendo                       | Nintendo Entertainment System | 1989 | North America
|       | Felix the Cat                                               | Hudson                         | Nintendo Entertainment System | 1992 | North America
|       | Ferrari Grand Prix Challenge                                | Acclaim                        | Nintendo Entertainment System | 1992 | North America
|       | Fester's Quest                                              | SunSoft                        | Nintendo Entertainment System | 1989 | North America
|       | Final Fantasy                                               | Nintendo                       | Nintendo Entertainment System | 1990 | North America
|       | Fire 'N Ice                                                 | Tecmo                          | Nintendo Entertainment System | 1993 | North America
|       | Firehawk                                                    | Camerica                       | Nintendo Entertainment System | 1991 | North America
|       | Fisher Price: Firehouse Rescue                              | GameTek                        | Nintendo Entertainment System | 1992 | North America
|       | Fisher Price: I Can Remember                                | GameTek                        | Nintendo Entertainment System | 1990 | North America
|       | Fisher Price: Perfect Fit                                   | GameTek                        | Nintendo Entertainment System | 1990 | North America
|       | Fist of the North Star                                      | Taxan                          | Nintendo Entertainment System | 1989 | North America
|       | Flight of the Intruder                                      | Mindscape Inc.                 | Nintendo Entertainment System | 1991 | North America
|       | Flintstones: The Rescue of Dino & Hoppy, The                | Taito Corporation              | Nintendo Entertainment System | 1991 | North America
|       | Flintstones: The Surprise at Dinosaur Peak!, The            | Taito Corporation              | Nintendo Entertainment System | 1994 | North America
|       | Flying Dragon: The Secret Scroll                            | Culture Brain                  | Nintendo Entertainment System | 1989 | North America
|       | Flying Warriors                                             | Culture Brain                  | Nintendo Entertainment System | 1991 | North America
|       | Formula One: Built to Win                                   | Seta Corporation               | Nintendo Entertainment System | 1990 | North America
|       | Fox's Peter Pan & the Pirates                               | THQ                            | Nintendo Entertainment System | 1991 | North America
|       | Frankenstein: The Monster Returns                           | Bandai                         | Nintendo Entertainment System | 1991 | North America
|       | Freedom Force                                               | SunSoft                        | Nintendo Entertainment System | 1988 | North America
|       | Friday the 13th                                             | LJN Ltd.                       | Nintendo Entertainment System | 1989 | North America
|       | Fun House                                                   | Hi-Tech                        | Nintendo Entertainment System | 1991 | North America
|       | G.I. Joe: A Real American Hero                              | Taxan                          | Nintendo Entertainment System | 1991 | North America
|       | G.I. Joe: The Atlantis Factor                               | Capcom                         | Nintendo Entertainment System | 1992 | North America
|       | Galactic Crusader                                           | Bunch Games, Inc.              | Nintendo Entertainment System | 1990 | North America
|       | Galaga: Demons of Death                                     | Bandai                         | Nintendo Entertainment System | 1988 | North America
|       | Galaxy 5000: Racing in the 51st Century                     | Activision                     | Nintendo Entertainment System | 1991 | North America
|       | Gargoyle's Quest II                                         | Capcom                         | Nintendo Entertainment System | 1992 | North America
|       | Gauntlet                                                    | Tengen                         | Nintendo Entertainment System | 1987 | North America
|       | Gauntlet II                                                 | Mindscape Inc.                 | Nintendo Entertainment System | 1990 | North America
|       | Gemfire                                                     | Koei                           | Nintendo Entertainment System | 1992 | North America
|       | Genghis Khan                                                | Koei                           | Nintendo Entertainment System | 1990 | North America
|       | George Foreman's KO Boxing                                  | Acclaim                        | Nintendo Entertainment System | 1992 | North America
|       | Ghost Lion                                                  | Kemco                          | Nintendo Entertainment System | 1992 | North America
|       | Ghostbusters                                                | Activision                     | Nintendo Entertainment System | 1988 | North America
|       | Ghostbusters II                                             | Activision                     | Nintendo Entertainment System | 1990 | North America
|       | Ghosts 'n Goblins                                           | Capcom                         | Nintendo Entertainment System | 1986 | North America
|       | Ghoul School                                                | Electro Brain                  | Nintendo Entertainment System | 1992 | North America
|       | Goal!                                                       | Jaleco Entertainment           | Nintendo Entertainment System | 1989 | North America
|       | Goal! Two                                                   | Jaleco Entertainment           | Nintendo Entertainment System | 1992 | North America
|       | Godzilla 2: War of the Monsters                             | Toho                           | Nintendo Entertainment System | 1992 | North America
|       | Godzilla: Monster of Monsters!                              | Toho                           | Nintendo Entertainment System | 1989 | North America
|       | Golf                                                        | Nintendo                       | Nintendo Entertainment System | 1985 | North America
|       | Golf Grand Slam                                             | ATLUS                          | Nintendo Entertainment System | 1991 | North America
|       | Golgo 13: Top Secret Episode                                | Vic Tokai                      | Nintendo Entertainment System | 1988 | North America
|       | Goonies II, The                                             | Konami                         | Nintendo Entertainment System | 1987 | North America
|       | Gotcha! The Sport!                                          | LJN Ltd.                       | Nintendo Entertainment System | 1987 | North America
|       | Gradius                                                     | Konami                         | Nintendo Entertainment System | 1986 | North America
|       | Great Waldo Search, The                                     | THQ                            | Nintendo Entertainment System | 1992 | North America
|       | Greg Norman's Golf Power                                    | Virgin Interactive             | Nintendo Entertainment System | 1992 | North America
|       | Gremlins 2: The New Batch                                   | SunSoft                        | Nintendo Entertainment System | 1990 | North America
|       | Guerrilla War                                               | SNK                            | Nintendo Entertainment System | 1989 | North America
|       | Gumshoe                                                     | Nintendo                       | Nintendo Entertainment System | 1986 | North America
|       | Gun Nac                                                     | ASCII Entertainment            | Nintendo Entertainment System | 1991 | North America
|       | Gun.Smoke                                                   | Capcom                         | Nintendo Entertainment System | 1988 | North America
