|       | 50 Classic Games 3D                                                       | Maximum Family Games                   | Nintendo 3DS | 2012 | North America
|       | Barbie Dreamhouse Party                                                   | Little Orbit                           | Nintendo 3DS | 2013 | North America
|       | Barbie: Glam and Groom Pups                                               | Little Orbit                           | Nintendo 3DS | 2013 | North America
|       | Batman: Arkham Origins Blackgate                                          | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2013 | North America
|       | Battleship                                                                | Activision                             | Nintendo 3DS | 2012 | North America
|       | Ben 10: Galactic Racing                                                   | D3Publisher                            | Nintendo 3DS | 2011 | North America
|       | Ben 10: Omniverse                                                         | D3Publisher                            | Nintendo 3DS | 2012 | North America
|       | Ben 10: Omniverse 2                                                       | D3Publisher                            | Nintendo 3DS | 2013 | North America
|       | Beyblade: Evolution                                                       | Rising Star Games                      | Nintendo 3DS | 2013 | North America
|       | Bit.Trip Saga                                                             | Aksys Games                            | Nintendo 3DS | 2011 | North America
|       | BlazBlue: Continuum Shift II                                              | Aksys Games                            | Nintendo 3DS | 2011 | North America
|       | Boulder Dash-XL 3D                                                        | Giant Media Group                      | Nintendo 3DS | 2012 | North America
|       | Brain Age: Concentration Training                                         | Nintendo                               | Nintendo 3DS | 2013 | North America
|       | Bratz: Fashion Boutique                                                   | Activision                             | Nintendo 3DS | 2012 | North America
|       | Bravely Default                                                           | Nintendo                               | Nintendo 3DS | 2014 | North America
|       | Bravely Second: End Layer                                                 | Nintendo                               | Nintendo 3DS | 2016 | North America
|       | Brunswick Pro Bowling                                                     | Crave                                  | Nintendo 3DS | 2011 | North America
|       | Bust-A-Move Universe                                                      | Square Enix                            | Nintendo 3DS | 2011 | North America
|       | Captain America: Super Soldier                                            | Sega                                   | Nintendo 3DS | 2011 | North America
|       | Carnival Games: Wild West 3D                                              | 2K Games                               | Nintendo 3DS | 2011 | North America
|       | Cars 2: The Video Game                                                    | Disney Interactive Studios             | Nintendo 3DS | 2011 | North America
|       | Cartoon Network: Battle Crashers                                          | GameMill Entertainment                 | Nintendo 3DS | 2016 | North America
|       | Cartoon Network: Punch Time Explosion                                     | Crave                                  | Nintendo 3DS | 2011 | North America
|       | Castlevania: Lords of Shadow - Mirror of Fate                             | Konami                                 | Nintendo 3DS | 2013 | North America
|       | Cave Story 3D                                                             | NIS America                            | Nintendo 3DS | 2011 | North America
|       | Centipede: Infestation                                                    | Atari                                  | Nintendo 3DS | 2011 | North America
|       | Chevrolet Camaro: Wild Ride                                               | Storm City Games                       | Nintendo 3DS | 2018 | North America
|       | Chibi-Robo! Zip Lash                                                      | Nintendo                               | Nintendo 3DS | 2015 | North America
|       | Classic Games Overload: Card and Puzzle Edition                           | Telegames, Inc.                        | Nintendo 3DS | 2012 | North America
|       | Cloudy With a Chance of Meatballs 2                                       | GameMill Publishing                    | Nintendo 3DS | 2013 | North America
|       | Code Name: S.T.E.A.M.                                                     | Nintendo                               | Nintendo 3DS | 2015 | North America
|       | Code of Princess                                                          | ATLUS                                  | Nintendo 3DS | 2012 | North America
|       | Combat of Giants: Dinosaurs 3D                                            | Ubisoft                                | Nintendo 3DS | 2011 | North America
|       | Conception II: Children of the Seven Stars                                | ATLUS                                  | Nintendo 3DS | 2014 | North America
|       | Cooking Mama 4: Kitchen Magic                                             | Majesco Games                          | Nintendo 3DS | 2011 | North America
|       | Cooking Mama 5: Bon Appetit!                                              | Majesco Games                          | Nintendo 3DS | 2014 | North America
|       | Cooking Mama: Sweet Shop                                                  | Rising Star Games                      | Nintendo 3DS | 2017 | North America
|       | Corpse Party                                                              | Xseed Games                            | Nintendo 3DS | 2016 | North America
|       | Crash City Mayhem                                                         | Majesco Games                          | Nintendo 3DS | 2013 | North America
|       | Croods: Prehistoric Party!, The                                           | D3Publisher                            | Nintendo 3DS | 2013 | North America
|       | Crosswords Plus                                                           | Nintendo                               | Nintendo 3DS | 2012 | North America
|       | CRUSH3D                                                                   | Sega                                   | Nintendo 3DS | 2012 | North America
|       | Cubic Ninja                                                               | Ubisoft                                | Nintendo 3DS | 2011 | North America
|       | Culdcept Revolt                                                           | NIS America                            | Nintendo 3DS | 2017 | North America
|       | Cut the Rope: Triple Treat                                                | Activision                             | Nintendo 3DS | 2014 | North America
|       | Dead or Alive: Dimensions                                                 | Koei                                   | Nintendo 3DS | 2011 | North America
|       | Deca Sports Extreme                                                       | Konami                                 | Nintendo 3DS | 2011 | North America
|       | Deer Drive Legends                                                        | Maximum Family Games                   | Nintendo 3DS | 2012 | North America
|       | Disney 2-Pack - Frozen: Olaf's Quest + Big Hero 6: Battle in the Bay      | GameMill Entertainment                 | Nintendo 3DS | 2016 | North America
|       | Disney Art Academy                                                        | Nintendo                               | Nintendo 3DS | 2016 | North America
|       | Disney Big Hero 6: Battle in the Bay                                      | GameMill Entertainment                 | Nintendo 3DS | 2014 | North America
|       | Disney Epic Mickey: The Power of Illusion                                 | Disney Interactive Studios             | Nintendo 3DS | 2012 | North America
|       | Disney Frozen: Olaf's Quest                                               | GameMill Entertainment                 | Nintendo 3DS | 2013 | North America
|       | Disney Infinity: Toy Box Challenge                                        | Disney Interactive Studios             | Nintendo 3DS | 2013 | North America
|       | Disney Infinity: Toy Box Challenge                                        | Disney Interactive Studios             | Nintendo 3DS | 2013 | North America
|       | Disney Magical World                                                      | Nintendo                               | Nintendo 3DS | 2014 | North America
|       | Disney Magical World 2                                                    | Nintendo                               | Nintendo 3DS | 2016 | North America
|       | Disney Planes                                                             | Disney Interactive Studios             | Nintendo 3DS | 2013 | North America
|       | Disney Planes: Fire & Rescue                                              | Little Orbit                           | Nintendo 3DS | 2014 | North America
|       | Disney Princess: My Fairytale Adventure                                   | Disney Interactive Studios             | Nintendo 3DS | 2012 | North America
|       | Disney Violetta Rhythm & Music                                            | Little Orbit                           | Nintendo 3DS | 2014 | North America
|       | Disney/Pixar Cars 2                                                       | Disney Interactive Studios             | Nintendo 3DS | 2011 | North America
|       | Doctor Lautrec and the Forgotten Knights                                  | Konami                                 | Nintendo 3DS | 2011 | North America
|       | Donkey Kong Country Returns 3D                                            | Nintendo                               | Nintendo 3DS | 2013 | North America
|       | Doodle Jump Adventures                                                    | GameMill Publishing                    | Nintendo 3DS | 2013 | North America
|       | Dragon Ball Z: Extreme Butoden                                            | Bandai Namco Games                     | Nintendo 3DS | 2015 | North America
|       | Dragon Ball: Fusions                                                      | Bandai Namco Games                     | Nintendo 3DS | 2016 | North America
|       | Dragon Quest VII: Fragments of the Forgotten Past                         | Nintendo                               | Nintendo 3DS | 2016 | North America
|       | Dragon Quest VIII: Journey of the Cursed King                             | Nintendo                               | Nintendo 3DS | 2017 | North America
|       | Dream Trigger 3D                                                          | D3Publisher                            | Nintendo 3DS | 2011 | North America
|       | DreamWorks Super Star Kartz                                               | Activision                             | Nintendo 3DS | 2011 | North America
|       | Driver: Renegade                                                          | Ubisoft                                | Nintendo 3DS | 2011 | North America
|       | DualPenSports                                                             | Namco Bandai Games                     | Nintendo 3DS | 2011 | North America
|       | Duck Dynasty                                                              | Activision                             | Nintendo 3DS | 2014 | North America
|       | Etrian Mystery Dungeon                                                    | ATLUS                                  | Nintendo 3DS | 2015 | North America
|       | Etrian Odyssey 2 Untold: The Fafnir Knight                                | ATLUS                                  | Nintendo 3DS | 2015 | North America
|       | Etrian Odyssey IV: Legends of the Titan                                   | ATLUS                                  | Nintendo 3DS | 2013 | North America
|       | Etrian Odyssey Untold: The Millennium Girl                                | ATLUS                                  | Nintendo 3DS | 2013 | North America
|       | Etrian Odyssey V: Beyond the Myth                                         | ATLUS                                  | Nintendo 3DS | 2017 | North America
|       | Etrian Odyssey V: Beyond the Myth                                         | ATLUS                                  | Nintendo 3DS | 2017 | North America
|       | Ever Oasis                                                                | Nintendo                               | Nintendo 3DS | 2017 | North America
|       | F1 2011                                                                   | Codemasters                            | Nintendo 3DS | 2011 | North America
|       | Face Racers: Photo Finish                                                 | Majesco Games                          | Nintendo 3DS | 2011 | North America
|       | Fantasy Life                                                              | Nintendo                               | Nintendo 3DS | 2014 | North America
|       | Farming Simulator 14                                                      | Focus Home Interactive                 | Nintendo 3DS | 2014 | North America
|       | Farming Simulator 18                                                      | Focus Home Interactive                 | Nintendo 3DS | 2017 | North America
|       | Fast & Furious: Showdown                                                  | Activision                             | Nintendo 3DS | 2013 | North America
|       | FIFA 14: Legacy Edition                                                   | EA Sports                              | Nintendo 3DS | 2013 | North America
|       | FIFA 15                                                                   | EA Sports                              | Nintendo 3DS | 2014 | North America
|       | FIFA Soccer 12                                                            | Electronic Arts                        | Nintendo 3DS | 2011 | North America
|       | FIFA Soccer 13                                                            | EA Sports                              | Nintendo 3DS | 2012 | North America
|       | Final Fantasy Explorers                                                   | Square Enix                            | Nintendo 3DS | 2016 | North America
|       | Finding Nemo: Escape to the Big Blue - Special Edition                    | Disney Interactive Studios             | Nintendo 3DS | 2012 | North America
|       | Finding Nemo: Escape to the Big Blue Special Edition                      | Disney Interactive Studios             | Nintendo 3DS | 2012 | North America
|       | Fire Emblem Echoes: Shadows of Valentia                                   | Nintendo                               | Nintendo 3DS | 2017 | North America
|       | Fire Emblem Fates: Birthright                                             | Nintendo                               | Nintendo 3DS | 2016 | North America
|       | Fire Emblem Fates: Conquest                                               | Nintendo                               | Nintendo 3DS | 2016 | North America
|       | Fire Emblem Fates: Special Edition                                        | Nintendo                               | Nintendo 3DS | 2016 | North America
|       | Fire Emblem Warriors                                                      | Koei Tecmo Games                       | Nintendo 3DS | 2017 | North America
|       | Fire Emblem: Awakening                                                    | Nintendo                               | Nintendo 3DS | 2013 | North America
|       | Fossil Fighters: Frontier                                                 | Nintendo                               | Nintendo 3DS | 2015 | North America
|       | Fractured Soul                                                            | Endgame Studios                        | Nintendo 3DS | 2012 | North America
|       | Freakyforms Deluxe: Your Creations, Alive!                                | Nintendo                               | Nintendo 3DS | 2012 | North America
|       | Frogger 3D                                                                | Konami                                 | Nintendo 3DS | 2011 | North America
|       | Funky Barn 3D                                                             | Ubisoft                                | Nintendo 3DS | 2012 | North America
|       | Gabrielle's Ghostly Groove 3D                                             | Natsume                                | Nintendo 3DS | 2011 | North America
|       | Gardening Mama 2: Forest Friends                                          | Majesco Games                          | Nintendo 3DS | 2014 | North America
|       | Garfield Kart                                                             | Square Enix                            | Nintendo 3DS | 2015 | North America
|       | Gem Smashers                                                              | Crave                                  | Nintendo 3DS | 2011 | North America
|       | Generator Rex: Agent of Providence                                        | Activision                             | Nintendo 3DS | 2011 | North America
|       | Girls' Fashion Shoot                                                      | Rising Star Games                      | Nintendo 3DS | 2013 | North America
|       | Goosebumps: The Game                                                      | GameMill Entertainment                 | Nintendo 3DS | 2015 | North America
|       | Gravity Falls: Legend of the Gnome Gemulets                               | Ubisoft                                | Nintendo 3DS | 2015 | North America
|       | Green Lantern: Rise of the Manhunters                                     | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2011 | North America
|       | Hakuoki: Memories of the Shinsengumi                                      | Aksys Games                            | Nintendo 3DS | 2013 | North America
|       | Happy Feet Two: The Videogame                                             | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2011 | North America
|       | Harvest Moon 3D: A New Beginning                                          | Natsume                                | Nintendo 3DS | 2012 | North America
|       | Harvest Moon 3D: The Lost Valley                                          | Natsume                                | Nintendo 3DS | 2014 | North America
|       | Harvest Moon 3D: The Tale of Two Towns                                    | Natsume                                | Nintendo 3DS | 2011 | North America
|       | Harvest Moon: Skytree Village                                             | Natsume                                | Nintendo 3DS | 2016 | North America
|       | Hatsune Miku: Project Mirai DX                                            | Sega                                   | Nintendo 3DS | 2015 | North America
|       | Heavy Fire: The Chosen Few 3D                                             | Mastiff                                | Nintendo 3DS | 2011 | North America
|       | Heavy Fire: The Chosen Few 3D                                             | Mastiff                                | Nintendo 3DS | 2011 | North America
|       | Hello Kitty and Sanrio Friends 3D Racing                                  | Majesco Games                          | Nintendo 3DS | 2014 | North America
|       | Hello Kitty Picnic with Sanrio Friends                                    | Majesco Games                          | Nintendo 3DS | 2012 | North America
|       | Heroes of Ruin                                                            | Square Enix                            | Nintendo 3DS | 2012 | North America
|       | Hey! Pikmin                                                               | Nintendo                               | Nintendo 3DS | 2017 | North America
|       | Hidden, The                                                               | Majesco Games                          | Nintendo 3DS | 2011 | North America
|       | HomeTown Story                                                            | Natsume                                | Nintendo 3DS | 2013 | North America
|       | Horses 3D                                                                 | Ubisoft                                | Nintendo 3DS | 2012 | North America
|       | Hot Wheels: World's Best Driver                                           | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2013 | North America
|       | Hotel Transylvania                                                        | GameMill Publishing                    | Nintendo 3DS | 2012 | North America
|       | How to Train Your Dragon 2                                                | Little Orbit                           | Nintendo 3DS | 2014 | North America
|       | Hyrule Warriors Legends                                                   | Nintendo                               | Nintendo 3DS | 2016 | North America
|       | Ice Age: Continental Drift - Arctic Games                                 | Activision                             | Nintendo 3DS | 2012 | North America
|       | Imagine Babyz                                                             | Ubisoft                                | Nintendo 3DS | 2012 | North America
|       | Imagine Fashion Designer                                                  | Ubisoft                                | Nintendo 3DS | 2011 | North America
|       | Imagine Fashion Life                                                      | Ubisoft                                | Nintendo 3DS | 2012 | North America
|       | Jake Hunter Detective Story: Ghost of the Dusk                            | Aksys Games                            | Nintendo 3DS | 2018 | North America
|       | Jake Hunter Detective Story: Ghost of the Dusk                            | Aksys Games                            | Nintendo 3DS | 2018 | North America
|       | James Noir's Hollywood Crimes                                             | Ubisoft                                | Nintendo 3DS | 2011 | North America
|       | JAWS: Ultimate Predator                                                   | Majesco Games                          | Nintendo 3DS | 2011 | North America
|       | Jewel Master: Cradle of Egypt 2 3D                                        | Rising Star Games                      | Nintendo 3DS | 2013 | North America
|       | Jewel Master: Cradle of Rome 2                                            | Rising Star Games                      | Nintendo 3DS | 2012 | North America
|       | Junior Classic Games 3D                                                   | Maximum Family Games                   | Nintendo 3DS | 2012 | North America
|       | Kid Icarus: Uprising                                                      | Nintendo                               | Nintendo 3DS | 2012 | North America
|       | Kingdom Hearts 3D: Dream Drop Distance                                    | Square Enix                            | Nintendo 3DS | 2012 | North America
|       | Kirby: Planet Robobot                                                     | Nintendo                               | Nintendo 3DS | 2016 | North America
|       | Kirby: Triple Deluxe                                                      | Nintendo                               | Nintendo 3DS | 2014 | North America
|       | Kung Fu Panda: Showdown of Legendary Legends                              | Little Orbit                           | Nintendo 3DS | 2015 | North America
|       | Lalaloopsy: Carnival of Friends                                           | Activision                             | Nintendo 3DS | 2012 | North America
|       | Langrisser Re:Incarnation -TENSEI-                                        | Aksys Games                            | Nintendo 3DS | 2016 | North America
|       | Layton's Mystery Journey: Katrielle and The Millionaire's Conspiracy      | Nintendo                               | Nintendo 3DS | 2017 | North America
|       | Layton's Mystery Journey: Katrielle and The Millionaire's Conspiracy      | Nintendo                               | Nintendo 3DS | 2017 | North America
|       | LBX: Little Battlers eXperience                                           | Nintendo                               | Nintendo 3DS | 2015 | North America
|       | Legend of Korra: A New Era Begins, The                                    | Activision                             | Nintendo 3DS | 2014 | North America
|       | Legend of Legacy, The                                                     | ATLUS                                  | Nintendo 3DS | 2015 | North America
|       | Legend of Zelda: A Link Between Worlds, The                               | Nintendo                               | Nintendo 3DS | 2013 | North America
|       | Legend of Zelda: Majora's Mask 3D, The                                    | Nintendo                               | Nintendo 3DS | 2015 | North America
|       | Legend of Zelda: Ocarina of Time 3D, The                                  | Nintendo                               | Nintendo 3DS | 2011 | North America
|       | Legend of Zelda: TriForce Heroes, The                                     | Nintendo                               | Nintendo 3DS | 2015 | North America
|       | Legends of Oz: Dorothy's Return                                           | GameMill Entertainment                 | Nintendo 3DS | 2014 | North America
|       | LEGO Batman 2: DC Super Heroes                                            | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2012 | North America
|       | LEGO Batman 3: Beyond Gotham                                              | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2014 | North America
|       | LEGO City Undercover: The Chase Begins                                    | Nintendo                               | Nintendo 3DS | 2013 | North America
|       | Lego Friends                                                              | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2013 | North America
|       | LEGO Harry Potter: Years 5-7                                              | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2011 | North America
|       | LEGO Jurassic World                                                       | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2015 | North America
|       | LEGO Legends of Chima: Laval's Journey                                    | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2013 | North America
|       | LEGO Marvel Super Heroes: Universe in Peril                               | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2013 | North America
|       | LEGO Marvel's Avengers                                                    | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2016 | North America
|       | LEGO Movie Videogame, The                                                 | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2014 | North America
|       | LEGO Ninjago: Nindroids                                                   | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2014 | North America
|       | LEGO Ninjago: Shadow of Ronin                                             | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2015 | North America
|       | LEGO Pirates of the Caribbean: The Video Game                             | Disney Interactive Studios             | Nintendo 3DS | 2011 | North America
|       | LEGO Star Wars III: The Clone Wars                                        | LucasArts                              | Nintendo 3DS | 2011 | North America
|       | LEGO Star Wars: The Force Awakens                                         | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2016 | North America
|       | LEGO The Hobbit                                                           | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2014 | North America
|       | LEGO The Lord of the Rings                                                | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2012 | North America
|       | Let's Ride! Best in Breed 3D                                              | THQ                                    | Nintendo 3DS | 2012 | North America
|       | Lord of Magna: Maiden Heaven                                              | Xseed Games                            | Nintendo 3DS | 2015 | North America
|       | Luigi's Mansion: Dark Moon                                                | Nintendo                               | Nintendo 3DS | 2013 | North America
|       | Madagascar 3 & The Croods: Combo Pack                                     | D3Publisher                            | Nintendo 3DS | 2014 | North America
|       | Madagascar 3: The Video Game                                              | D3Publisher                            | Nintendo 3DS | 2012 | North America
|       | Madden NFL Football                                                       | Electronic Arts                        | Nintendo 3DS | 2011 | North America
|       | Mahjong 3D: Warriors of the Emperor                                       | Giant Media Group                      | Nintendo 3DS | 2012 | North America
|       | Mahjong Cub3d                                                             | ATLUS                                  | Nintendo 3DS | 2011 | North America
|       | Mario & Luigi: Dream Team                                                 | Nintendo                               | Nintendo 3DS | 2013 | North America
|       | Mario & Luigi: Paper Jam                                                  | Nintendo                               | Nintendo 3DS | 2016 | North America
|       | Mario & Luigi: Superstar Saga + Bowser's Minions                          | Nintendo                               | Nintendo 3DS | 2017 | North America
|       | Mario & Sonic at the London 2012 Olympic Games                            | Sega                                   | Nintendo 3DS | 2012 | North America
|       | Mario & Sonic at the Rio 2016 Olympic Games                               | Nintendo                               | Nintendo 3DS | 2016 | North America
|       | Mario Golf: World Tour                                                    | Nintendo                               | Nintendo 3DS | 2014 | North America
|       | Mario Kart 7                                                              | Nintendo                               | Nintendo 3DS | 2011 | North America
|       | Mario Party: Island Tour                                                  | Nintendo                               | Nintendo 3DS | 2013 | North America
|       | Mario Party: Star Rush                                                    | Nintendo                               | Nintendo 3DS | 2016 | North America
|       | Mario Sports Superstars                                                   | Nintendo                               | Nintendo 3DS | 2017 | North America
|       | Mario Tennis Open                                                         | Nintendo                               | Nintendo 3DS | 2012 | North America
|       | Marvel Super Hero Squad: The Infinity Gauntlet                            | THQ                                    | Nintendo 3DS | 2011 | North America
|       | Mega Man Legacy Collection                                                | Capcom                                 | Nintendo 3DS | 2016 | North America
|       | Metal Gear Solid: Snake Eater 3D                                          | Konami                                 | Nintendo 3DS | 2012 | North America
|       | Metroid Prime: Federation Force                                           | Nintendo                               | Nintendo 3DS | 2016 | North America
|       | Metroid: Samus Returns                                                    | Nintendo                               | Nintendo 3DS | 2017 | North America
|       | Michael Jackson The Experience                                            | Ubisoft                                | Nintendo 3DS | 2011 | North America
|       | Mii Maker                                                                 | Nintendo                               | Nintendo 3DS | 2011 | North America
|       | Miitopia                                                                  | Nintendo                               | Nintendo 3DS | 2017 | North America
|       | Mini-Mario & Friends: amiibo Challenge                                    | Nintendo                               | Nintendo 3DS | 2016 | North America
|       | Moco Moco Friends                                                         | Aksys Games                            | Nintendo 3DS | 2015 | North America
|       | Monster 4x4 3D                                                            | Ubisoft                                | Nintendo 3DS | 2012 | North America
|       | Monster High 13 Wishes                                                    | Little Orbit                           | Nintendo 3DS | 2013 | North America
|       | Monster High Skultimate Roller Maze                                       | Little Orbit                           | Nintendo 3DS | 2013 | North America
|       | Monster High: 13 Wishes                                                   | Little Orbit                           | Nintendo 3DS | 2013 | North America
|       | Monster High: New Ghoul in School                                         | Little Orbit                           | Nintendo 3DS | 2015 | North America
|       | Monster Hunter 3 Ultimate                                                 | Capcom                                 | Nintendo 3DS | 2013 | North America
|       | Monster Hunter 4 Ultimate                                                 | Capcom                                 | Nintendo 3DS | 2015 | North America
|       | Monster Hunter Generations                                                | Capcom                                 | Nintendo 3DS | 2016 | North America
|       | Monster Hunter Stories                                                    | Capcom                                 | Nintendo 3DS | 2017 | North America
|       | Moshi Monsters: Katsuma Unleashed                                         | Activision                             | Nintendo 3DS | 2013 | North America
|       | Moshi Monsters: Moshlings Theme Park                                      | Activision                             | Nintendo 3DS | 2012 | North America
|       | My Pet Puppy 3D                                                           | 505 Games                              | Nintendo 3DS | 2012 | North America
|       | Myst                                                                      | Maximum Family Games                   | Nintendo 3DS | 2012 | North America
|       | Nano Assault                                                              | Majesco Games                          | Nintendo 3DS | 2011 | North America
|       | Naruto Powerful Shippuden                                                 | Namco Bandai Games America             | Nintendo 3DS | 2013 | North America
|       | NASCAR Unleashed                                                          | Activision                             | Nintendo 3DS | 2011 | North America
|       | NCIS 3D                                                                   | Ubisoft                                | Nintendo 3DS | 2012 | North America
|       | Need for Speed: The Run                                                   | Electronic Arts                        | Nintendo 3DS | 2011 | North America
|       | New Super Mario Bros. 2                                                   | Nintendo                               | Nintendo 3DS | 2012 | North America
|       | Nickelodeon Nicktoons MLB 3D                                              | 2K Games                               | Nintendo 3DS | 2012 | North America
|       | Nickelodeon Teenage Mutant Ninja Turtles                                  | Activision                             | Nintendo 3DS | 2013 | North America
|       | Nickelodeon Teenage Mutant Ninja Turtles                                  | Activision                             | Nintendo 3DS | 2013 | North America
|       | Nickleodeon Teenage Mutant Ninja Turtles: Master Splinter's Training Pack | Activision                             | Nintendo 3DS | 2015 | North America
|       | Nicktoons MLB 3D                                                          | 2K Games                               | Nintendo 3DS | 2012 | North America
|       | Nikoli's Pencil Puzzle                                                    | Konami                                 | Nintendo 3DS | 2011 | North America
|       | Nintendogs + Cats                                                         | Nintendo                               | Nintendo 3DS | 2011 | North America
|       | Nintendogs + Cats: French Bulldog & New Friends                           | Nintendo                               | Nintendo 3DS | 2011 | North America
|       | Nintendogs + Cats: Golden Retriever & New Friends                         | Nintendo                               | Nintendo 3DS | 2011 | North America
|       | Nintendogs + Cats: Toy Poodle & New Friends                               | Nintendo                               | Nintendo 3DS | 2011 | North America
|       | One Piece: Romance Dawn                                                   | Namco Bandai Games America             | Nintendo 3DS | 2013 | North America
|       | One Piece: Unlimited World Red                                            | Bandai Namco Games                     | Nintendo 3DS | 2014 | North America
|       | Order Up!!                                                                | Ignition Entertainment                 | Nintendo 3DS | 2012 | North America
|       | Oregon Trail, The                                                         | Crave                                  | Nintendo 3DS | 2011 | North America
|       | Outdoors Unleashed: Africa 3D                                             | Mastiff                                | Nintendo 3DS | 2011 | North America
|       | Outdoors Unleashed: Alaska 3D                                             | Mastiff                                | Nintendo 3DS | 2011 | North America
|       | Pac-Man & Galaga Dimensions                                               | Namco Bandai Games                     | Nintendo 3DS | 2011 | North America
|       | Pac-Man and the Ghostly Adventures                                        | Namco Bandai Games America             | Nintendo 3DS | 2013 | North America
|       | Pac-Man and the Ghostly Adventures 2                                      | Bandai Namco Games                     | Nintendo 3DS | 2014 | North America
|       | Pac-Man Party 3D                                                          | Namco Bandai Games America             | Nintendo 3DS | 2011 | North America
|       | Paddington: Adventures in London                                          | Kids' Mania                            | Nintendo 3DS | 2015 | North America
|       | Paper Mario: Sticker Star                                                 | Nintendo                               | Nintendo 3DS | 2012 | North America
|       | Paws & Claws: Pampered Pets Resort 3D                                     | THQ                                    | Nintendo 3DS | 2012 | North America
|       | Penguins of Madagascar                                                    | Little Orbit                           | Nintendo 3DS | 2014 | North America
|       | Persona Q: Shadow of the Labyrinth                                        | ATLUS                                  | Nintendo 3DS | 2014 | North America
|       | Pet Zombies                                                               | Majesco Games                          | Nintendo 3DS | 2011 | North America
